cost,costval,quality,incomeval,income,insured,adjudicated_location_id,description,procedure_code,no_procedures
0.8985,60.92,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8985,60.92,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8985,60.92,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8985,60.92,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8985,60.92,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8985,60.92,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8985,60.92,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8985,60.92,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.897,60.72,0.47,49521,31.9909,0.786,84,Chest x-ray 2vw frontal&latl,71020,204759
0.8956,60.045,0.47,49521,31.9909,0.786,84,Chest x-ray 2vw frontal&latl,71020,204759
0.8956,60.045,0.47,49521,31.9909,0.786,84,Chest x-ray 2vw frontal&latl,71020,204759
0.8951,59.763333,0.47,49521,31.9909,0.786,84,Chest x-ray 2vw frontal&latl,71020,204759
0.8918,59.213333,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8918,59.213333,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8918,59.213333,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8918,59.213333,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.39,40921,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.58,66092,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.39,40921,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.39,40921,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.39,40921,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.39,40921,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.39,40921,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.47,49521,31.9909,0.786,84,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.47,49521,31.9909,0.786,84,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.47,49521,31.9909,0.786,84,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.47,49521,31.9909,0.786,84,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.8894,59.2,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
