avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description
111.816,0.4688,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.955,0.0968,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
111.816,0.4688,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.955,0.0968,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
111.816,0.4688,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.955,0.0968,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
59.305,0.2362,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.955,0.0968,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
59.305,0.2362,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
59.305,0.2362,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
173.947777,0.6402,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
59.305,0.2362,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
173.947777,0.6402,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
173.947777,0.6402,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
173.947777,0.6402,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
41.82,0.1855,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.2025,0.105,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.2025,0.105,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.2025,0.105,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.2025,0.105,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
12.23,0.0669,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
12.23,0.0669,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
12.23,0.0669,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
12.23,0.0669,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
170.605,0.635,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
170.605,0.635,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
170.605,0.635,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
170.605,0.635,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
57.366111,0.2331,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
57.366111,0.2331,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
57.366111,0.2331,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
