GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population
8600000US98541,98541,ZCTA5 98541,3717,265,57504,4992,10178,783,21997,1849
8600000US98542,98542,ZCTA5 98542,189,52,66085,18524,459,128,27631,8787
8600000US98544,98544,ZCTA5 98544,0,12,-,**,0,12,-,**
8600000US98546,98546,ZCTA5 98546,1137,155,71938,9968,3356,856,26048,6023
8600000US98547,98547,ZCTA5 98547,558,134,41313,9493,1086,257,22172,5349
8600000US98548,98548,ZCTA5 98548,1262,208,38143,5246,2389,526,20809,3676
8600000US98550,98550,ZCTA5 98550,4499,216,51124,4637,11311,408,21127,1928
8600000US98552,98552,ZCTA5 98552,236,80,45357,7756,625,256,17380,3036
8600000US98555,98555,ZCTA5 98555,177,69,66049,25083,336,145,37643,15176
8600000US98557,98557,ZCTA5 98557,1155,110,58451,4837,3137,441,22788,2989
8600000US98558,98558,ZCTA5 98558,52,61,N,N,149,116,32246,22210
8600000US98559,98559,ZCTA5 98559,29,42,N,N,157,227,N,N
8600000US98560,98560,ZCTA5 98560,69,28,45893,7921,201,109,16126,4043
