zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98586,881,507,33393,5046,40607,5464,22.07,,,
98587,258,186,29000,5768,46643,7307,19.20,,,
98588,936,701,49306,14024,57827,12613,30.83,,,
98589,2683,1867,55308,4921,66552,6120,33.51,,,
98590,198,132,38864,25343,91639,60242,25.36,,,
98591,1477,1129,49120,7531,57261,6025,30.74,,,
98592,700,520,64524,20575,79975,23202,36.99,,,
98593,397,260,42031,14522,44532,5023,27.13,,,
98595,1194,491,32013,4551,37980,5236,21.19,,,
98596,2577,1925,42404,3675,50832,4573,27.33,,,
98597,7797,5533,53534,3865,62998,3499,32.75,,,
98601,956,749,54688,7293,63081,9799,33.25,,,
98602,41,23,53250,9454,49527,9498,32.63,,,
98603,419,322,59708,14346,76205,26651,35.26,,,
98604,11539,9117,66206,4634,80608,4122,37.55,,,
98605,460,253,39167,12655,54168,7746,25.53,,,
98606,3128,2530,76722,8618,92286,6841,40.50,,,
98607,9866,7669,83602,6405,106904,5846,41.96,,,
98610,1158,734,39667,7497,53553,8572,25.82,,,
98611,3868,2693,55021,5450,65928,5561,33.39,,,
98612,1119,786,48594,7162,54594,7982,30.49,,,
98613,209,154,56875,19833,68062,9870,34.15,,,
98614,112,69,38636,30499,42180,13789,25.23,,,
98616,85,62,31890,36702,69939,52013,21.11,,,
98617,415,285,47344,9696,64949,19200,29.88,,,
98619,187,130,46406,12329,53426,8193,29.41,,,
98620,2982,2073,41381,6227,47662,5108,26.77,,,
98621,198,134,33125,17453,44295,15516,21.90,,,
98624,641,416,44489,15168,53753,8440,28.44,,,
98625,2568,1757,55625,7269,72737,12075,33.64,,,
98626,9090,6262,44777,3897,56614,2978,28.59,,,
98628,158,96,32031,8054,49237,10670,21.20,,,
98629,2943,2398,74102,6449,86823,7734,39.85,,,
98631,1688,1001,41214,8653,54236,8020,26.68,,,
98632,19960,12235,41732,1836,55149,2035,26.97,,,
98635,763,490,33862,4683,45693,4950,22.36,,,
98638,517,384,51771,8826,61112,8962,31.97,,,
98639,428,239,48036,13405,67699,17184,30.22,,,
98640,1901,1070,34035,3826,44039,6762,22.47,,,
98641,0,0,-,**,-,**,#VALUE!,,,
98642,5910,4610,78448,7010,96102,7067,40.90,,,
98643,193,128,51477,17639,50107,10476,31.84,,,
98644,140,68,38641,3625,41680,11267,25.23,,,
98645,461,354,54792,13815,59137,8695,33.29,,,
98647,121,55,26488,19715,47703,30238,17.48,,,
98648,1204,711,51471,4105,60170,5527,31.83,,,
98649,376,250,72045,21064,77639,14576,39.30,,,
98650,314,249,53750,13364,74603,15153,32.84,,,
98651,269,207,49489,23039,68558,10963,30.91,,,
98660,5234,2543,43214,5863,59305,5051,27.77,,,
98661,17422,10129,40599,1998,56114,3419,26.34,,,
98662,11885,8049,60034,3841,68980,2772,35.39,,,
98663,5688,3164,53137,3563,62293,3079,32.58,,,
98664,8776,5439,51489,2120,67840,3828,31.84,,,
98665,9492,6416,50305,2377,65484,3588,31.30,,,
98670,33,20,45417,41397,50361,19338,28.91,,,
98671,8155,6015,67655,5540,81718,4608,38.01,,,
98672,2136,1406,54655,5577,68521,6670,33.23,,,
98673,197,117,35893,14600,53346,13505,23.61,,,
98674,3853,3010,63774,3633,78154,9345,36.74,,,
98675,2067,1565,59871,5358,75602,6455,35.33,,,
98682,18226,13334,59325,2474,68437,2531,35.12,,,
98683,13008,8479,58874,3714,77841,3311,34.94,,,
98684,9857,7095,57216,3523,69204,4079,34.29,,,
98685,9708,7413,79265,4858,92852,4268,41.08,,,
98686,6741,4751,72204,4792,87166,5149,39.34,,,
98801,14977,10157,50911,2354,68149,4068,31.58,,,
98802,10511,7960,57872,2749,67214,3438,34.55,,,
98811,39,7,56607,69001,49162,31155,34.04,,,
98812,1293,1033,40583,8914,56942,7140,26.33,,,
98813,991,826,37986,3189,45683,4464,24.85,,,
98814,148,120,34355,29321,51226,15848,22.67,,,
98815,2564,2048,59735,5819,79022,8816,35.27,,,
98816,2626,1654,42721,14267,60155,8390,27.50,,,
98817,188,82,20156,44488,19371,14539,12.82,,,
98819,89,44,32917,11597,35442,8356,21.77,,,
98821,157,106,13875,56626,27348,26646,7.77,,,
98822,805,613,45804,9254,58842,5500,29.11,,,
98823,3720,2822,54651,5346,58703,4020,33.23,,,
98824,115,105,47928,8511,46302,7249,30.17,,,
98826,2965,1816,46976,7736,59368,7959,29.70,,,
98827,235,139,36332,22615,28214,9674,23.87,,,
98828,770,589,60913,7227,69590,12353,35.71,,,
98829,274,200,37125,45073,53136,11150,24.35,,,
98830,240,156,55333,15505,60759,10307,33.52,,,
98831,1303,811,44334,10166,58091,8439,28.36,,,
98832,65,51,61875,82503,70617,26874,36.07,,,
98833,83,56,68750,34488,66952,13445,38.35,,,
98834,81,52,48875,60135,73952,27535,30.62,,,
98836,313,243,65462,8660,70004,21847,37.31,,,
98837,14646,10170,47962,2637,60995,3540,30.18,,,
98840,1834,1164,45568,9262,59952,11812,28.99,,,
98841,3445,2434,43972,8537,52217,5374,28.17,,,
98843,503,383,51827,7838,69194,14573,31.99,,,
98844,1963,1147,35542,8058,47054,5778,23.40,,,
98845,88,68,44091,4750,48057,16023,28.23,,,
98846,423,312,38814,8811,50971,9021,25.33,,,
98847,537,355,50195,9227,74911,42192,31.25,,,
98848,3600,2810,45533,5108,54436,3394,28.97,,,
98849,555,423,45114,16093,46537,8337,28.76,,,
98850,546,379,37083,14351,50130,14745,24.32,,,
98851,1800,1013,33481,5387,47941,6013,22.12,,,
98852,5,2,21250,171391,73120,66801,13.66,,,
98853,2,0,-,**,N,N,#VALUE!,,,
98855,2757,1677,39028,8156,47756,5770,25.45,,,
98856,1206,698,32744,5555,41514,4631,21.66,,,
98857,1196,906,41742,8794,51927,5862,26.97,,,
