zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98831,1303,811,44334,10166,58091,8439,,,,
98832,65,51,61875,82503,70617,26874,,,,
98833,83,56,68750,34488,66952,13445,,,,
98834,81,52,48875,60135,73952,27535,,,,
98836,313,243,65462,8660,70004,21847,,,,
98837,14646,10170,47962,2637,60995,3540,,,,
98840,1834,1164,45568,9262,59952,11812,,,,
98841,3445,2434,43972,8537,52217,5374,,,,
98843,503,383,51827,7838,69194,14573,,,,
98844,1963,1147,35542,8058,47054,5778,,,,
98845,88,68,44091,4750,48057,16023,,,,
98846,423,312,38814,8811,50971,9021,,,,
98847,537,355,50195,9227,74911,42192,,,,
98848,3600,2810,45533,5108,54436,3394,,,,
98849,555,423,45114,16093,46537,8337,,,,
98850,546,379,37083,14351,50130,14745,,,,
98851,1800,1013,33481,5387,47941,6013,,,,
98852,5,2,21250,171391,73120,66801,,,,
98853,2,0,-,**,N,N,,,,
98855,2757,1677,39028,8156,47756,5770,,,,
98856,1206,698,32744,5555,41514,4631,,,,
98857,1196,906,41742,8794,51927,5862,,,,
98858,839,575,42868,7468,55439,5933,,,,
98859,146,19,6065,7618,9745,8940,,,,
98860,114,61,46364,17047,44104,8221,,,,
98862,974,698,62549,17968,67082,10123,,,,
98901,9533,6600,35842,2509,49433,2701,,,,
98902,16433,10637,38142,2400,49918,2547,,,,
98903,5291,3915,46297,5679,60407,5490,,,,
98908,14167,9575,58063,3701,75796,3858,,,,
98921,261,261,23179,7630,20701,4147,,,,
98922,2594,1678,51105,3875,68217,8636,,,,
98923,246,216,53214,40401,55080,19029,,,,
98925,233,140,52083,22342,60245,9136,,,,
98926,11931,6491,41614,3850,53847,2852,,,,
98929,0,0,-,**,-,**,,,,
98930,4623,3438,42338,4110,52592,4505,,,,
98932,1285,1135,43117,4247,49426,5802,,,,
98933,399,337,51083,9527,67725,13675,,,,
98934,394,288,39167,28087,51140,8329,,,,
98935,838,726,38895,4155,49154,8690,,,,
