Id,zip,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
8600000US04915,4915,ZCTA5 04915,3691,181,34663,5177
8600000US04917,4917,ZCTA5 04917,1168,95,69524,10115
8600000US04918,4918,ZCTA5 04918,175,75,30054,19427
8600000US04920,4920,ZCTA5 04920,808,75,31414,1685
8600000US04921,4921,ZCTA5 04921,652,72,33750,5269
8600000US04922,4922,ZCTA5 04922,500,58,29028,6295
8600000US04923,4923,ZCTA5 04923,219,38,34063,4196
8600000US04924,4924,ZCTA5 04924,836,95,46328,8398
8600000US04925,4925,ZCTA5 04925,56,18,44500,12890
8600000US04926,4926,ZCTA5 04926,15,21,-,**
8600000US04927,4927,ZCTA5 04927,1368,116,44375,12607
8600000US04928,4928,ZCTA5 04928,834,66,43500,10193
8600000US04929,4929,ZCTA5 04929,380,52,41406,4552
8600000US04930,4930,ZCTA5 04930,1843,107,37986,12183
8600000US04932,4932,ZCTA5 04932,503,57,48188,9874
8600000US04933,4933,ZCTA5 04933,19,31,-,**
8600000US04936,4936,ZCTA5 04936,86,28,41071,7778
8600000US04937,4937,ZCTA5 04937,2702,213,46467,6044
8600000US04938,4938,ZCTA5 04938,3765,237,38215,3723
8600000US04939,4939,ZCTA5 04939,499,44,36250,7610
8600000US04940,4940,ZCTA5 04940,31,52,-,**
8600000US04941,4941,ZCTA5 04941,633,59,39491,3689
8600000US04942,4942,ZCTA5 04942,520,55,29271,3312
8600000US04943,4943,ZCTA5 04943,730,68,31563,3003
8600000US04944,4944,ZCTA5 04944,60,95,-,**
8600000US04945,4945,ZCTA5 04945,451,60,40313,7326
8600000US04947,4947,ZCTA5 04947,701,76,51875,6347
8600000US04949,4949,ZCTA5 04949,337,50,33203,7167
8600000US04950,4950,ZCTA5 04950,1915,158,37675,4551
8600000US04951,4951,ZCTA5 04951,399,47,34886,12312
8600000US04952,4952,ZCTA5 04952,775,61,45938,7968
